name,address,latitude,longitude
Unknown,Unknown Address,53.3378876,-6.4634873
Aghadoe Carpark,Unknown Address,52.0770202,-9.5570431
Unknown,Unknown Address,53.3084618,-6.3142095
Unknown,Unknown Address,53.2452409,-8.6468539
Unknown,Unknown Address,53.3455489,-6.2401034
The Waterfront,Hanover Quay,53.3442216,-6.2342011
Unknown,Unknown Address,52.6396981,-7.8693818
Unknown,Unknown Address,52.6794,-7.2377036
Unknown,Unknown Address,52.6751398,-7.2386203
Unknown,Unknown Address,53.7353774,-9.8931771
Unknown,Unknown Address,53.4026566,-6.3113026
Unknown,Unknown Address,55.0846119,-6.0556622
Unknown,Unknown Address,54.0190026,-7.9654287
Moat of Ardscull Parking,Unknown Address,53.0242839,-6.9149551
Long Walk Parking Area,Unknown Address,54.0035467,-6.4034659
Unknown,Unknown Address,54.0042434,-6.4036804
Magho,Unknown Address,54.4725734,-7.9061217
Oldbawn Road Car Park,Unknown Address,53.2841776,-6.3597608
Unknown,Unknown Address,52.8545229,-6.3313736
Unknown,Unknown Address,53.0165511,-9.3752449
Unknown,Unknown Address,53.3237072,-6.3125646
Unknown,Unknown Address,52.4593736,-7.5069463
Mullaghreelan Wood Car Park,Unknown Address,52.9337557,-6.8778528
Unknown,Unknown Address,53.7555651,-6.2658828
Unknown,Unknown Address,53.352177,-6.3394633
Unknown,Unknown Address,53.3524225,-6.3366368
Unknown,Unknown Address,52.8006133,-6.4627814
Unknown,Unknown Address,53.9846918,-8.2317904
Unknown,Unknown Address,53.5540216,-9.3701625
Unknown,Unknown Address,53.8719791,-7.9572922
Unknown,Unknown Address,54.2742065,-8.4775681
Unknown,Unknown Address,52.2318232,-9.9270213
Unknown,Unknown Address,52.9895467,-6.0466127
Unknown,Unknown Address,53.3280271,-6.2317745
Stradbally Playground Car Park,Unknown Address,53.0116998,-7.1421532
Unknown,Unknown Address,55.0778634,-6.8160102
Unknown,Unknown Address,55.0779328,-6.814617
Castlemill Shopping Centre,Unknown Address,53.6133197,-6.2061436
Unknown,Unknown Address,52.398368,-7.3794048
Jervis,Unknown Address,53.3479444,-6.2662089
Unknown,Unknown Address,53.3868282,-9.2314418
BOI parking,Unknown Address,53.3807619,-6.1722142
Unknown,Unknown Address,53.6526144,-9.3756746
Unknown,Unknown Address,54.0383977,-6.1871562
Cloonbony Cemetery,Unknown Address,53.6747129,-7.9739177
Hard Surface Parking at entrace to Mote Park walkways,Unknown Address,53.6010351,-8.14349
Unknown,Unknown Address,53.7413895,-7.8043149
Unknown,Unknown Address,54.0894736,-8.5149126
Aspencourt,Unknown Address,53.2694021,-6.1670606
